About,Director,Writers,category,duration,movie_type,number_of_vote,rating,recommendation,title
"
                    Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister.
            ",Yorgos Lanthimos,"Yorgos Lanthimos,Efthymis Filippou",Drama,"
                        2h 1min
                    ",Movie,"111,089",7.0,"The Lobster,Dogtooth,The Favourite,Mother!,Hereditary,The Witch,Midsommar,Antichrist,Enemy,The Lighthouse,Climax,The House That Jack Built",The Killing of a Sacred Deer 
"
                    Follows two of America's wealthiest families as they feud for control over their fortune and their children.
            ",Sallie Patrick,"Elizabeth Gillies,Rafael de la Fuente,Robert Christopher Riley,See full cast & crew",Drama,"
                        42min
                    ",Serie,"12,290",7.3,"Gossip Girl,Pretty Little Liars,Pretty Little Liars: The Perfectionists,Insatiable,The Vampire Diaries,Riverdale,Elite,Jane the Virgin,The Society,Baby,The Originals,Teen Wolf",Dynasty             
"
                    A boy in New York is taken in by a wealthy Upper East Side family after his mother is killed in a bombing at the Metropolitan Museum of Art.
            ",John Crowley,"Peter Straughan,Donna Tartt",Drama,"
                        2h 29min
                    ",Movie,"11,574",6.2,"Seberg,The Good Liar,Where'd You Go, Bernadette,Judy,Downton Abbey,Bad Education,The Kitchen,The Peanut Butter Falcon,Motherless Brooklyn,Bombshell,Honey Boy,Official Secrets",The Goldfinch 
"
                    Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.
            ",Denis Villeneuve,"Hampton Fancher,Michael Green,2 more credits",Action,"
                        2h 44min
                    ",Movie,"430,683",8.0,"Blade Runner,Arrival,Ex Machina,The Martian,Mad Max: Fury Road,Black Panther,Dunkirk,Sicario,Alien,Guardians of the Galaxy,Avatar,Thor: Ragnarok",Blade Runner 2049 
"
                    At the height of the Cold War two Russian agents pose as your average American couple, complete with family.
            ",Joseph Weisberg,"Keri Russell,Matthew Rhys,Keidrich Sellati,See full cast & crew",Crime,"
                        44min
                    ",Serie,"78,510",8.4,"Justified,The Leftovers,Homeland,The Killing,Boardwalk Empire,Mad Men,Ray Donovan,Luther,Deadwood,House of Cards,Billions,Fargo",The Americans             
"
                    With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.
            ",David Fincher,"Gillian Flynn,Gillian Flynn",Drama,"
                        2h 29min
                    ",Movie,"819,391",8.1,"Shutter Island,Prisoners,The Wolf of Wall Street,Catch Me If You Can,The Sixth Sense,The Truman Show,V for Vendetta,Logan,Se7en,The Grand Budapest Hotel,Whiplash,Kill Bill: Vol. 1",Gone Girl 
"
                    A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.
            ",Drew Goddard,"Charlie Cox,Vincent D'Onofrio,Deborah Ann Woll,See full cast & crew",Action,"
                        54min
                    ",Serie,"348,731",8.6,"The Punisher,Jessica Jones,The Defenders,Luke Cage,Iron Fist,Sherlock,Arrow,Dexter,The Boys,Stranger Things,Hannibal,Narcos",Daredevil             
"
                    Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island.""
            ",Robert Levine,"Jessica Parker Kennedy,Toby Stephens,Hannah New,See full cast & crew",Adventure,"
                        56min
                    ",Serie,"88,351",8.2,"Spartacus,Marco Polo,Spartacus: Gods of the Arena,Frontier,Da Vinci's Demons,Taboo,Rome,Knightfall,The Last Kingdom,Vikings,The Punisher,Sons of Anarchy",Black Sails             
"
                    When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate, Hawk, to take down criminals.
            ",Peter Berg,"Sean O'Keefe,Brian Helgeland,2 more credits",Action,"
                        1h 51min
                    ",Movie,"54,118",6.2,"6 Underground,Extraction,Jumanji: The Next Level,Triple Frontier,Bad Boys for Life,Angel Has Fallen,Mile 22,The Highwaymen,Code 8,Shooter,Pain & Gain,Zombieland: Double Tap",Spenser Confidential 
"
                    When a star high school football player from South Central is recruited to play for Beverly Hills High School, two separate worlds collide.
            ",April Blair,"Daniel Ezra,Samantha Logan,Michael Evans Behling,See full cast & crew",Drama,"
                        45min
                    ",Serie,"4,914",7.6,"Grey's Anatomy,Criminal Minds,Outer Banks,Little Fires Everywhere,The Blacklist,Supernatural,Lucifer,Stranger Things,Hawaii Five-0,Ozark,Riverdale,Friends",All American             
"
                    After moving with her mother to a small town, a teenager finds that an accident happened in the house at the end of the street. Things get more complicated when she befriends a boy. A double murder is not an accident.
            ",Mark Tonderai,"David Loucka,Jonathan Mostow",Drama,"
                        1h 41min
                    ",Movie,"69,425",5.6,"When a Stranger Calls,The Last House on the Left,The Roommate,The Amityville Horror,The Haunting in Connecticut,Dior: Joy,The Unborn,Case 39,Sinister,Serena,Gone,The Uninvited",House at the End of the Street 
"
                    This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.
            ",Jon M. Chu,"Peter Chiarelli,Adele Lim,1 more credit",Comedy,"
                        2h
                    ",Movie,"126,222",6.9,"To All the Boys I've Loved Before,Ocean's 8,Last Christmas,Crazy, Stupid, Love.,Pitch Perfect,A Simple Favor,Mamma Mia!,To All the Boys: P.S. I Still Love You,Mamma Mia! Here We Go Again,Mean Girls,Friends with Benefits,No Strings Attached",Crazy Rich Asians 
